Latitude,Longitude,Elevation,HR,TP,Distance,cumDistance
39.464830000000006,-0.32488,6.760000000000001,,,0.07460069643742438,3.4326790870073673
39.465520000000005,-0.3249,6.760000000000001,,,0.07674370634153842,3.509422793348906
39.46553,-0.32479,4.3,,,0.00950800530088805,3.518930798649794
39.465520000000005,-0.3249,6.760000000000001,,,0.00950800530088805,3.528438803950682
39.46569,-0.32494,6.8100000000000005,,,0.01921247229146861,3.5476512762421506
39.46604000000001,-0.32497,6.930000000000001,,,0.03900333680523831,3.586654613047389
39.46674,-0.32504,6.930000000000001,,,0.07806804902436236,3.6647226620717515
39.46713,-0.32511,6.930000000000001,,,0.0437803470252254,3.708503009096977
39.467290000000006,-0.32519,6.86,,,0.019070556805426478,3.727573565902403
39.4673,-0.32529,7.08,,,0.008655828760677012,3.7362293946630802
