file,lines,maxDist,minDist,meanDist,difDist,sumDist,maxTime,minTime,meanTime,difTime,sumTime
1996590699.csv,4522,0.02507808651486268,0.0,0.0094328056283672,0.02507808651486268,42.655147051476476,0.10000000000005116,0.016666666666623087,0.046682149966821504,0.08333333333342807,211.05
1996591393.csv,13314,0.011515702250855827,0.0,0.0032380304122232163,0.011515702250855827,43.1111369083399,0.03333333333338828,0.0,0.017568041262925962,0.03333333333338828,233.88333333333333
1996591444.csv,14660,0.008292598325225995,0.0,0.002908988865170181,0.008292598325225995,42.645776763394856,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,244.31666666666663
1996592326.csv,13027,0.014338313423427868,0.0,0.0032836542318270875,0.014338313423427868,42.77616367801147,0.033333333333333215,0.016666666666623087,0.016670505143559035,0.016666666666710128,217.15
1996592406.csv,3091,0.025454690640512836,0.0,0.013830581122517043,0.025454690640512836,42.75032624970018,0.11666666666670267,0.016666666666623087,0.06347357065803667,0.10000000000007958,196.13333333333333
1996593398.csv,14020,0.02774576548506535,0.0,0.0030534011078483633,0.02774576548506535,42.80868353203405,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,233.65
1996594660.csv,3237,0.03085488746573756,0.0,0.01317456775484203,0.03085488746573756,42.646075822423654,0.15000000000000568,0.016666666666623087,0.06290688092295013,0.1333333333333826,203.56666666666663
1996596977.csv,2837,0.18342488488320746,0.0,0.015042124515483509,0.18342488488320746,42.674507250426714,4.8166666666666345,0.016666666666623087,0.068811706629055,4.800000000000011,195.15
1996598633.csv,2067,0.02750494219166121,0.0,0.02059842420060719,0.02750494219166121,42.57694282265506,0.15000000000000568,0.016666666666637298,0.09376411745724428,0.1333333333333684,193.71666666666667
1996598761.csv,2201,0.02992146693548288,0.0,0.01940687975065218,0.02992146693548288,42.71454233118545,0.3666666666666458,0.016666666666623087,0.09689393939393938,0.35000000000002274,213.16666666666663
1996599129.csv,1988,0.031059022201526308,0.0,0.021398771611492718,0.031059022201526308,42.54075796364752,0.13333333333332575,0.016666666666637298,0.08969971481295085,0.11666666666668846,178.23333333333332
1996600595.csv,14020,0.014943173842283854,0.0,0.003037015958593872,0.014943173842283854,42.578963739486085,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,233.65
1996600971.csv,2829,0.028200459493317745,0.0,0.01513507508491519,0.028200459493317745,42.81712741522507,0.29999999999999716,0.016666666666623087,0.11221122112211221,0.28333333333337407,317.3333333333333
1996601822.csv,2180,0.03148764745744252,0.0,0.019569954981986794,0.03148764745744252,42.66250186073121,0.21666666666666856,0.016666666666623087,0.1101652134006425,0.20000000000004547,240.05
1996601871.csv,13790,0.010739420166859248,0.0,0.00311774690022113,0.010739420166859248,42.99372975404938,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,229.81666666666663
1996602872.csv,3301,0.035238821827121306,0.0,0.012982085051310176,0.035238821827121306,42.85386275437489,0.18333333333333712,0.016666666666623087,0.06615656565656565,0.16666666666671404,218.31666666666663
1996603329.csv,2328,0.029392815596499713,0.0,0.018295111204691798,0.029392815596499713,42.591018884522505,0.48333333333332007,0.016666666666623087,0.10850164732846296,0.466666666666697,252.4833333333333
1996603350.csv,5649,0.04120399682022049,0.0,0.007625113215008283,0.04120399682022049,43.07426455158179,0.21666666666666856,0.01666666666665151,0.0425814447592068,0.20000000000001705,240.5
1996603363.csv,3067,0.029268085350262273,0.0,0.01387375547977857,0.029268085350262273,42.550808056480875,0.13333333333332575,0.016666666666623087,0.0643672537508154,0.11666666666670267,197.35
1996603873.csv,2092,0.02875271281640648,0.0,0.020337143076202924,0.02875271281640648,42.54530331541652,0.1666666666666572,0.016666666666623087,0.09032360911844413,0.1500000000000341,188.86666666666667
1996604215.csv,2248,0.07208440631353169,0.0,0.01899855436769834,0.07208440631353169,42.70875021858587,0.16666666666668561,0.016666666666637298,0.07974336151906246,0.15000000000004832,179.18333333333334
1996605532.csv,2067,0.034038999221908235,0.0,0.020703401665593906,0.034038999221908235,42.793931242782605,0.8999999999999915,0.016666666666623087,0.12747660535656663,0.8833333333333684,263.3666666666667
1996606877.csv,17292,0.00676387001218694,0.0,0.002470631331537832,0.00676387001218694,42.72215698495219,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,288.18333333333334
1996608959.csv,11946,0.01631428768272735,0.0,0.003588881542464276,0.01631428768272735,42.87277890627824,0.03333333333338828,0.016666666666623087,0.016772708246128084,0.016666666666765195,200.35
1996611617.csv,12028,0.013926808478723601,0.0,0.003568069620302227,0.013926808478723601,42.916741392995185,0.03333333333333144,0.016666666666623087,0.016670823979379728,0.016666666666708352,200.5
